,Formulas
804,La2 Ru4
805,La2 Se6
806,La1 Ce1
807,La3 Ta1
808,La1 Er3
809,La9 Rh6
810,La28 Ru12
811,La26 Hg116
812,La2 I2
813,La8 Al2
814,La1 Cu5
815,La3 Sm1
816,La4 Se8
817,La4 Se8
818,La2 Se4
819,La10 Sn6
820,La10 Sn6
821,La2 Co10
822,La2 Co10
823,La1 Co5
824,La9 Pt6
825,Ac1 La1
826,La5 S8
827,La5 S8
828,La12 Ir4
829,La14 Au51
830,La1 B6
831,La10 Tl6
832,La3 Ga1
833,Ba2 La6
834,Ba1 La3
835,La1 In1
836,La8 Sn12
837,La1 C1
838,La10 S14
839,La2 Br6
840,La4 Bi2
841,La3 Al11
842,La1 Cd3
843,La1 C2
844,La1 C2
845,La8 Bi6
846,La6 S8
847,La1 In3
848,La9 Cu36
849,La1 Cu2
850,La3 Sn7
851,La2 F2
852,La4 P28
853,La2 Co4
854,La14 Rh6
855,La2 Si10
856,La3 Pb1
857,La2 Rh4
858,La8 Ni2
859,La8 Pb6
860,La1 Ir5
861,La2 Ni2
862,La6 Sn8
863,La2 In4
864,La1 H20
865,La1 Ag1
866,La10 Sb6
867,La3 In1
868,La1 Yb3
869,La20 Sn16
870,La2 Si4
871,La1 I2
872,La8 Ge14
873,La2 F6
874,La4 F12
875,La1 F3
876,La6 F18
877,La6 F18
878,La6 F18
879,La2 F6
880,La1 F3
881,La4 Br10
882,La10 Si6
883,La10 Si6
884,La3 Cd33
885,La39 Se56
886,La1 H3
887,La1 H3
888,La5 Mg41
889,La20 Ga12
890,La1 Mg5
891,La8 Rh2
892,La6 Al2
893,La3 Al1
894,La2 Zn17
895,La16 Se24
896,La22 Sn20
897,La6 Se8
898,La6 Ti2
899,La3 Eu1
900,La6 Eu2
901,La1 Pd3
902,Cs2 La2
903,La2 Cl6
904,La4 Al4
905,La8 Ru2
906,La8 Co2
907,La2 Br4
908,La2 Ta6
909,La2 Sm6
910,La2 Pt2
911,La1 Pt3
912,La1 As1
913,La1 As1
914,La4 In2
915,La20 Se38
916,La2 Zn6
917,Na1 La1
918,La4 Si4
919,La4 Si4
920,La1 Cd2
921,Ac1 La3
922,Ac2 La6
923,La4 Sb8
924,La1 Zn5
